ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS32134,32134.TXT,0.24485,0.15691,0.19125,3

ROUGE-1+StopWordRemoval,FNS32134,32134.TXT,0.28824,0.13601,0.18482,3

ROUGE-2+StopWordRemoval,FNS32134,32134.TXT,0.09665,0.04078,0.05736,3

ROUGE-SU4+StopWordRemoval,FNS32134,32134.TXT,0.15521,0.05852,0.08500,3

ROUGE-L+StopWordRemoval,FNS32376,32376.TXT,0.32117,0.19399,0.24188,4

ROUGE-1+StopWordRemoval,FNS32376,32376.TXT,0.40221,0.24886,0.30747,4

ROUGE-2+StopWordRemoval,FNS32376,32376.TXT,0.16851,0.10251,0.12747,4

ROUGE-SU4+StopWordRemoval,FNS32376,32376.TXT,0.25986,0.14080,0.18264,4

ROUGE-L+StopWordRemoval,FNS30991,30991.TXT,0.31077,0.15567,0.20744,4

ROUGE-1+StopWordRemoval,FNS30991,30991.TXT,0.39191,0.17031,0.23744,4

ROUGE-2+StopWordRemoval,FNS30991,30991.TXT,0.19514,0.07178,0.10495,4

ROUGE-SU4+StopWordRemoval,FNS30991,30991.TXT,0.25322,0.08217,0.12408,4

ROUGE-L+StopWordRemoval,FNS32135,32135.TXT,0.18190,0.17000,0.17575,4

ROUGE-1+StopWordRemoval,FNS32135,32135.TXT,0.24205,0.24347,0.24276,4

ROUGE-2+StopWordRemoval,FNS32135,32135.TXT,0.10047,0.08430,0.09168,4

ROUGE-SU4+StopWordRemoval,FNS32135,32135.TXT,0.14178,0.11109,0.12457,4

ROUGE-L+StopWordRemoval,FNS32136,32136.TXT,0.26732,0.25805,0.26260,4

ROUGE-1+StopWordRemoval,FNS32136,32136.TXT,0.30492,0.17290,0.22067,4

ROUGE-2+StopWordRemoval,FNS32136,32136.TXT,0.10475,0.04622,0.06414,4

ROUGE-SU4+StopWordRemoval,FNS32136,32136.TXT,0.18154,0.06765,0.09857,4

ROUGE-L+StopWordRemoval,FNS32378,32378.TXT,0.20081,0.17986,0.18976,3

ROUGE-1+StopWordRemoval,FNS32378,32378.TXT,0.27043,0.21157,0.23741,3

ROUGE-2+StopWordRemoval,FNS32378,32378.TXT,0.12079,0.07760,0.09450,3

ROUGE-SU4+StopWordRemoval,FNS32378,32378.TXT,0.17551,0.10592,0.13212,3

ROUGE-L+StopWordRemoval,FNS32139,32139.TXT,0.27267,0.21825,0.24245,3

